customerReviewAverage,customerReviewCount,inStoreAvailability,manufacturer,name,onlineAvailability,regularPrice,salePrice,upc
4.7,501.0,True,Apple,Apple - iPhone 8 256GB - (PRODUCT)RED™ Special Edition (AT&T),True,899.99,899.99,400055803975
4.7,26.0,True,Apple,Apple - iPhone 6s Plus 128GB - Space Gray (AT&T),True,699.99,699.99,400055803982
4.7,26.0,True,Apple,Apple - iPhone 6s Plus 128GB - Rose Gold (AT&T),True,699.99,699.99,400055803999
4.7,26.0,True,Apple,Apple - iPhone 6s Plus 128GB - Gold (AT&T),True,699.99,699.99,400055804002
4.7,26.0,True,Apple,Apple - iPhone 6s Plus 128GB - Silver (AT&T),True,699.99,699.99,400055804019
4.7,924.0,True,Apple,Apple - iPhone 8 64GB - (PRODUCT)RED™ Special Edition (Sprint),False,749.99,749.99,400055807058
4.7,309.0,True,Apple,Apple - iPhone 6s 32GB - Space Gray (Sprint),False,499.99,499.99,400055807072
4.7,2303.0,True,Apple,Apple - iPhone 7 32GB - Rose Gold (Sprint),False,599.99,599.99,400055807133
4.7,2303.0,True,Apple,Apple - iPhone 7 32GB - Gold (Sprint),False,599.99,599.99,400055807140
4.7,2303.0,True,Apple,Apple - iPhone 7 32GB - Silver (Sprint),False,599.99,599.99,400055807157
4.7,2303.0,True,Apple,Apple - iPhone 7 32GB - Black (Sprint),False,599.99,599.99,400055807164
4.7,1822.0,True,Apple,Apple - iPhone 7 128GB - Jet Black (Sprint),False,699.99,699.99,400055807270
4.7,1822.0,True,Apple,Apple - iPhone 7 128GB - Rose Gold (Sprint),False,699.99,699.99,400055807287
4.7,1822.0,True,Apple,Apple - iPhone 7 128GB - Gold (Sprint),False,699.99,699.99,400055807300
4.7,1822.0,True,Apple,Apple - iPhone 7 128GB - Silver (Sprint),False,699.99,699.99,400055807317
4.7,1822.0,True,Apple,Apple - iPhone 7 128GB - Black (Sprint),False,699.99,699.99,400055807324
4.7,309.0,True,Apple,Apple - iPhone 6s 32GB - Rose Gold (Sprint),False,499.99,499.99,400055807355
4.7,309.0,True,Apple,Apple - iPhone 6s 32GB - Gold (Sprint),False,499.99,499.99,400055807379
4.7,309.0,True,Apple,Apple - iPhone 6s 32GB - Silver (Sprint),False,499.99,499.99,400055807386
4.7,211.0,True,Apple,Apple - iPhone 8 256GB - (PRODUCT)RED™ Special Edition (Sprint),False,899.99,899.99,400055807393
4.7,1253.0,True,Apple,Apple - iPhone 8 64GB - (PRODUCT)RED™ Special Edition (Verizon),True,749.99,749.99,400055809618
4.7,1251.0,True,Apple,Apple - iPhone 6s 32GB - Space Gray (Verizon),True,499.99,499.99,400055809779
4.7,3090.0,True,Apple,Apple - iPhone 7 32GB - Rose Gold (Verizon),True,599.99,599.99,400055815831
4.7,3090.0,True,Apple,Apple - iPhone 7 32GB - Gold (Verizon),True,599.99,599.99,400055815848
4.7,3090.0,True,Apple,Apple - iPhone 7 32GB - Silver (Verizon),True,599.99,599.99,400055815855
4.7,3090.0,True,Apple,Apple - iPhone 7 32GB - Black (Verizon),True,599.99,599.99,400055815862
4.7,2770.0,True,Apple,Apple - iPhone 7 128GB - Jet Black (Verizon),True,699.99,699.99,400055815930
4.7,2770.0,True,Apple,Apple - iPhone 7 128GB - Rose Gold (Verizon),True,699.99,699.99,400055815947
4.7,2770.0,True,Apple,Apple - iPhone 7 128GB - Gold (Verizon),True,699.99,699.99,400055815954
4.7,2770.0,True,Apple,Apple - iPhone 7 128GB - Silver (Verizon),True,699.99,699.99,400055815961
4.7,2770.0,True,Apple,Apple - iPhone 7 128GB - Black (Verizon),True,699.99,699.99,400055815978
4.7,1251.0,True,Apple,Apple - iPhone 6s 32GB - Rose Gold (Verizon),True,499.99,499.99,400055815985
4.7,1251.0,True,Apple,Apple - iPhone 6s 32GB - Gold (Verizon),True,499.99,499.99,400055815992
4.7,1251.0,True,Apple,Apple - iPhone 6s 32GB - Silver (Verizon),True,499.99,499.99,400055816005
4.7,467.0,True,Apple,Apple - iPhone 8 256GB - (PRODUCT)RED™ Special Edition (Verizon),True,899.99,899.99,400055816012
4.7,1264.0,True,Samsung,Samsung - Galaxy S8 64GB - Arctic Silver (AT&T),True,654.99,654.99,887276208978
4.7,1264.0,True,Samsung,Samsung - Galaxy S8 64GB - Midnight Black (AT&T),True,654.99,654.99,887276202457
4.7,1264.0,True,Samsung,Samsung - Galaxy S8 64GB - Orchid Gray (AT&T),True,654.99,654.99,887276214726
4.7,1712.0,True,Samsung,Samsung - Galaxy S8 64GB - Arctic Silver (Sprint),False,699.99,699.99,887276213682
4.7,1712.0,True,Samsung,Samsung - Galaxy S8 64GB - Midnight Black (Sprint),False,699.99,699.99,887276201627
4.7,1712.0,True,Samsung,Samsung - Galaxy S8 64GB - Orchid Gray (Sprint),False,699.99,699.99,887276207674
4.7,3739.0,True,Samsung,Samsung - Galaxy S8 64GB - Orchid Gray (Verizon),False,672.0,672.0,887276207667
4.7,3739.0,True,Samsung,Samsung - Galaxy S8 64GB - Midnight Black (Verizon),True,672.0,672.0,887276201078
4.7,20.0,True,Samsung,Samsung - Galaxy J7 16GB - Black (AT&T),True,239.99,239.99,887276200972
4.7,1593.0,True,Apple,Apple - iPhone X 256GB - Space Gray (AT&T),True,1199.99,1199.99,400060096645
4.7,1593.0,True,Apple,Apple - iPhone X 256GB - Silver (AT&T),True,1199.99,1199.99,400060096713
4.7,501.0,True,Apple,Apple - iPhone 8 256GB - Space Gray (AT&T),True,899.99,899.99,400060096959
4.7,501.0,True,Apple,Apple - iPhone 8 256GB - Gold (AT&T),True,899.99,899.99,400060096973
4.7,501.0,True,Apple,Apple - iPhone 8 256GB - Silver (AT&T),True,899.99,899.99,400060097017
4.7,1248.0,True,Apple,Apple - iPhone 8 64GB - Space Gray (AT&T),True,749.99,749.99,400060097093
4.7,1248.0,True,Apple,Apple - iPhone 8 64GB - Gold (AT&T),True,749.99,749.99,400060097109
4.7,1248.0,True,Apple,Apple - iPhone 8 64GB - Silver (AT&T),True,749.99,749.99,400060097154
4.7,211.0,True,Apple,Apple - iPhone 8 256GB - Space Gray (Sprint),False,899.99,899.99,400060098007
4.7,211.0,True,Apple,Apple - iPhone 8 256GB - Gold (Sprint),False,899.99,899.99,400060098021
4.7,211.0,True,Apple,Apple - iPhone 8 256GB - Silver (Sprint),False,899.99,899.99,400060098076
4.7,924.0,True,Apple,Apple - iPhone 8 64GB - Space Gray (Sprint),False,749.99,749.99,400060098151
4.7,924.0,True,Apple,Apple - iPhone 8 64GB - Gold (Sprint),False,749.99,749.99,400060098168
4.7,924.0,True,Apple,Apple - iPhone 8 64GB - Silver (Sprint),False,749.99,749.99,400060098205
4.7,2303.0,True,Apple,Apple - iPhone 7 32GB - Jet Black (Sprint),False,599.99,599.99,400060098526
4.7,994.0,True,Apple,Apple - iPhone X 64GB - Space Gray (Verizon),True,1049.99,1049.99,400060099011
4.7,994.0,True,Apple,Apple - iPhone X 64GB - Silver (Verizon),True,1049.99,1049.99,400060099073
4.7,467.0,True,Apple,Apple - iPhone 8 256GB - Space Gray (Verizon),True,899.99,899.99,400060099165
4.7,467.0,True,Apple,Apple - iPhone 8 256GB - Gold (Verizon),True,899.99,899.99,400060099172
4.7,467.0,True,Apple,Apple - iPhone 8 256GB - Silver (Verizon),True,899.99,899.99,400060099233
4.7,1253.0,True,Apple,Apple - iPhone 8 64GB - Space Gray (Verizon),True,749.99,749.99,400060099318
4.7,1253.0,True,Apple,Apple - iPhone 8 64GB - Gold (Verizon),True,749.99,749.99,400060099325
4.7,1253.0,True,Apple,Apple - iPhone 8 64GB - Silver (Verizon),True,749.99,749.99,400060099370
4.7,3090.0,True,Apple,Apple - iPhone 7 32GB - Jet Black (Verizon),True,599.99,599.99,400060099707
4.7,7.0,True,LG,LG - V30 64GB - Cloud Silver (Verizon),True,839.99,792.0,652810819237
4.7,842.0,True,Samsung,Samsung - Galaxy S9 64GB - Midnight Black (Verizon),True,792.0,792.0,887276244198
4.7,842.0,True,Samsung,Samsung - Galaxy S9 64GB - Coral Blue (Verizon),True,792.0,792.0,887276256078
4.7,842.0,True,Samsung,Samsung - Galaxy S9 64GB - Lilac Purple (Verizon),True,792.0,792.0,887276256054
4.7,316.0,True,Samsung,Samsung - Galaxy S9 64GB - Midnight Black (Sprint),False,829.99,829.99,887276245966
4.7,316.0,True,Samsung,Samsung - Galaxy S9 64GB - Coral Blue (Sprint),False,829.99,829.99,887276252292
4.7,316.0,True,Samsung,Samsung - Galaxy S9 64GB - Lilac Purple (Sprint),False,829.99,829.99,887276255064
4.7,373.0,True,Samsung,Samsung - Galaxy S9 64GB - Midnight Black (AT&T),True,789.99,789.99,887276247052
4.7,373.0,True,Samsung,Samsung - Galaxy S9 64GB - Coral Blue (AT&T),True,789.99,789.99,887276254555
4.7,373.0,True,Samsung,Samsung - Galaxy S9 64GB - Lilac Purple (AT&T),True,789.99,789.99,887276254562
4.7,316.0,True,Samsung,Samsung - Galaxy S9 64GB - Sunrise Gold (Sprint),False,829.99,829.99,887276282442
4.8,344.0,True,Apple,Apple - iPhone 6s 128GB - Rose Gold (AT&T),True,599.99,599.99,400054393002
4.8,297.0,True,Apple,Apple - iPhone 6s 128GB - Rose Gold (Sprint),False,599.99,599.99,400054394009
4.8,381.0,True,Apple,Apple - iPhone 6s 128GB - Rose Gold (Verizon),True,599.99,599.99,400054395013
4.8,2446.0,True,Apple,Apple - iPhone 7 32GB - Rose Gold (AT&T),True,599.99,599.99,400055803418
4.8,2446.0,True,Apple,Apple - iPhone 7 32GB - Gold (AT&T),True,599.99,599.99,400055803555
4.8,2446.0,True,Apple,Apple - iPhone 7 32GB - Silver (AT&T),True,599.99,599.99,400055803579
4.8,2446.0,True,Apple,Apple - iPhone 7 32GB - Black (AT&T),True,599.99,599.99,400055803586
4.8,211.0,True,Apple,Apple - iPhone 6s Plus 32GB - Space Gray (AT&T),True,599.99,599.99,400055803593
4.8,211.0,True,Apple,Apple - iPhone 6s Plus 32GB - Rose Gold (AT&T),True,599.99,599.99,400055803630
4.8,211.0,True,Apple,Apple - iPhone 6s Plus 32GB - Gold (AT&T),True,599.99,599.99,400055803647
4.8,211.0,True,Apple,Apple - iPhone 6s Plus 32GB - Silver (AT&T),True,599.99,599.99,400055803685
4.8,1353.0,True,Apple,Apple - iPhone 7 Plus 32GB - Rose Gold (AT&T),True,719.99,719.99,400055804217
4.8,1353.0,True,Apple,Apple - iPhone 7 Plus 32GB - Gold (AT&T),True,719.99,719.99,400055804224
4.8,1353.0,True,Apple,Apple - iPhone 7 Plus 32GB - Silver (AT&T),True,719.99,719.99,400055804231
4.8,1353.0,True,Apple,Apple - iPhone 7 Plus 32GB - Black (AT&T),True,719.99,719.99,400055804248
4.8,344.0,True,Apple,Apple - iPhone 6s 128GB - Space Gray (AT&T),True,599.99,599.99,400055804262
4.8,1754.0,True,Apple,Apple - iPhone 8 Plus 64GB - (PRODUCT)RED™ Special Edition (AT&T),True,849.99,849.99,400055804279
4.8,344.0,True,Apple,Apple - iPhone 6s 128GB - Gold (AT&T),True,599.99,599.99,400055804286
4.8,344.0,True,Apple,Apple - iPhone 6s 128GB - Silver (AT&T),True,599.99,599.99,400055804293
4.8,1302.0,True,Apple,Apple - iPhone 8 Plus 256GB - (PRODUCT)RED™ Special Edition (AT&T),True,999.99,999.99,400055804316
4.8,3273.0,True,Apple,Apple - iPhone 7 Plus 128GB - Jet Black (AT&T),True,819.99,819.99,400055804385
4.8,3273.0,True,Apple,Apple - iPhone 7 Plus 128GB - Rose Gold (AT&T),True,819.99,819.99,400055804415
4.8,3273.0,True,Apple,Apple - iPhone 7 Plus 128GB - Gold (AT&T),True,819.99,819.99,400055804439
4.8,3273.0,True,Apple,Apple - iPhone 7 Plus 128GB - Silver (AT&T),True,819.99,819.99,400055804446
4.8,3273.0,True,Apple,Apple - iPhone 7 Plus 128GB - Black (AT&T),True,819.99,819.99,400055804460
4.8,151.0,True,Apple,Apple - iPhone 6s Plus 32GB - Space Gray (Sprint),False,599.99,599.99,400055807065
4.8,2437.0,True,Apple,Apple - iPhone 7 Plus 128GB - Jet Black (Sprint),False,819.99,819.99,400055807102
4.8,151.0,True,Apple,Apple - iPhone 6s Plus 32GB - Rose Gold (Sprint),False,599.99,599.99,400055807171
4.8,151.0,True,Apple,Apple - iPhone 6s Plus 32GB - Gold (Sprint),False,599.99,599.99,400055807218
4.8,151.0,True,Apple,Apple - iPhone 6s Plus 32GB - Silver (Sprint),False,599.99,599.99,400055807225
4.8,1560.0,True,Apple,Apple - iPhone 7 Plus 32GB - Rose Gold (Sprint),False,719.99,719.99,400055807546
4.8,1560.0,True,Apple,Apple - iPhone 7 Plus 32GB - Gold (Sprint),False,719.99,719.99,400055807553
4.8,1560.0,True,Apple,Apple - iPhone 7 Plus 32GB - Silver (Sprint),False,719.99,719.99,400055807584
4.8,1560.0,True,Apple,Apple - iPhone 7 Plus 32GB - Black (Sprint),False,719.99,719.99,400055808895
4.8,297.0,True,Apple,Apple - iPhone 6s 128GB - Space Gray (Sprint),False,599.99,599.99,400055809045
4.8,1480.0,True,Apple,Apple - iPhone 8 Plus 64GB - (PRODUCT)RED™ Special Edition (Sprint),False,849.99,849.99,400055809069
4.8,297.0,True,Apple,Apple - iPhone 6s 128GB - Gold (Sprint),False,599.99,599.99,400055809083
4.8,297.0,True,Apple,Apple - iPhone 6s 128GB - Silver (Sprint),False,599.99,599.99,400055809090
4.8,640.0,True,Apple,Apple - iPhone 8 Plus 256GB - (PRODUCT)RED™ Special Edition (Sprint),False,999.99,999.99,400055809120
4.8,2437.0,True,Apple,Apple - iPhone 7 Plus 128GB - Rose Gold (Sprint),False,819.99,819.99,400055809489
4.8,2437.0,True,Apple,Apple - iPhone 7 Plus 128GB - Gold (Sprint),False,819.99,819.99,400055809496
4.8,2437.0,True,Apple,Apple - iPhone 7 Plus 128GB - Silver (Sprint),False,819.99,819.99,400055809502
4.8,2437.0,True,Apple,Apple - iPhone 7 Plus 128GB - Black (Sprint),False,819.99,819.99,400055809519
4.8,436.0,True,Apple,Apple - iPhone 6s Plus 32GB - Space Gray (Verizon),True,599.99,599.99,400055809663
4.8,2751.0,True,Apple,Apple - iPhone 7 Plus 128GB - Jet Black (Verizon),True,819.99,819.99,400055809809
4.8,2751.0,True,Apple,Apple - iPhone 7 Plus 128GB - Rose Gold (Verizon),True,819.99,819.99,400055810102
4.8,436.0,True,Apple,Apple - iPhone 6s Plus 32GB - Rose Gold (Verizon),True,599.99,599.99,400055815886
