customerReviewAverage,customerReviewCount,inStoreAvailability,manufacturer,name,onlineAvailability,regularPrice,salePrice,upc
2.5,2.0,True,ASUS,"ASUS - 15.6"" Laptop - Intel Core i7 - 8GB Memory - NVIDIA GeForce GTX 1050 - 1TB Hard Drive + 128GB Solid State Drive - Black IMR",True,999.99,999.99,889349842560
2.5,2.0,False,HP,"HP - EliteBook Folio 9480m 14"" Laptop - Intel Core i5 - 4GB Memory - 256GB Solid State Drive - Platinum",False,1299.99,1299.99,888793419632
2.7,9.0,False,HP,"HP - EliteBook 14"" Refurbished Laptop - Intel Core i5 - 8GB Memory - 500GB Hard Drive - Silver",False,310.99,280.99,812177027755
2.7,3.0,True,Acer,"Acer - 2-in-1 14"" Refurbished Touch-Screen Laptop - Intel Core i7 - 8GB Memory - 256GB Solid State Drive - Shale black",False,894.99,894.99,841631114434
2.7,3.0,False,Lenovo,"Lenovo - 14"" Refurbished Laptop - Intel Core i5 - 4GB Memory - 160GB Hard Drive - Black",False,279.99,279.99,812177025355
2.8,9.0,False,Dell,"Dell - 14.1"" Refurbished Laptop - Intel Core2 Duo - 2GB Memory - 160GB Hard Drive - Black",False,163.99,163.99,812177021463
2.8,4.0,True,HP,"HP - EliteBook 12.5"" Refurbished Laptop - Intel Core i5 - 8GB Memory - 160GB Hard Drive - Silver",False,250.99,250.99,812177027786
3.0,5.0,False,HP,"HP - Compaq 14.1"" Refurbished Laptop - Intel Core2 Duo - 2GB Memory - 160GB Hard Drive - Silver/Gray",False,203.99,203.99,812177021548
3.0,3.0,False,Lenovo,"Lenovo - ThinkPad 12.5"" Refurbished Laptop - Intel Core i5 - 8GB Memory - 320GB Hard Drive - Black",False,280.99,280.99,812177027991
3.0,1.0,True,HP,"HP - EliteBook 14"" Refurbished Laptop - Intel Core i5 - 8GB Memory - 128GB Solid State Drive - Silver",False,288.99,288.99,812177027663
3.0,3.0,False,Dell,"Dell - Latitude 14"" Refurbished Laptop - Intel Core i5 - 4GB Memory - 500GB Hard Drive - Gray",False,266.99,266.99,812177027441
3.0,2.0,True,ASUS,"ASUS - P-Series 14"" Laptop - Intel Core i5 - 8GB Memory - 256GB Solid State Drive - Black",True,749.99,749.99,889349572917
3.0,5.0,True,HP,"HP - 2-in-1 15.6"" Touch-Screen Laptop - Intel Core i3 - 8GB Memory - 1TB Hard Drive - Ash silver keyboard frame, natural silver",True,659.99,623.99,190781857051
3.0,1.0,True,HP,"HP - EliteBook 14"" Laptop - Intel Core i7 - 16GB Memory - 512GB Solid State Drive - Silver",True,1979.99,1773.99,190781383673
3.0,5.0,True,Acer,"Acer - Predator Helios 300 15.6"" Laptop - Intel Core i7 - 16GB Memory-NVIDIA GeForce GTX 1060-1TB HD+256GB Solid State Drive - Black",True,1399.99,1399.99,191114286456
3.0,3.0,True,Acer,"Acer - Spin 1 2-in-1 11.6"" Refurbished Touch-Screen Laptop - Intel Celeron - 4GB Memory - 32GB eMMC Flash Memory - Obsidian black",True,289.99,289.99,841631119866
3.0,1.0,True,Lenovo,"Lenovo - IdeaPad 17.3"" Laptop - AMD A9-Series - 8GB Memory - 1TB Hard Drive - Platinum Gray",True,520.99,520.99,192330691901
3.0,1.0,True,ASUS,"ASUS - VivoBook 15.6"" Laptop - Intel Core i5 - 8GB Memory - 1TB Hard Drive - Chocolate Black/Gold",True,599.99,569.99,889349904855
3.0,2.0,True,ASUS,"ASUS - ROG Strix Scar Edition 17.3"" Laptop - Intel Core i7 - 16GB Memory - NVIDIA GeForce GTX 1060 - 1TB SSHD + 256GB SSD - Black",True,1599.99,1599.99,889349993606
3.0,2.0,True,Dell,"Dell - 15.6"" 4K Ultra HD Laptop Intel Core i7 16GB Memory NVIDIA GeForce GTX 1060 Max-Q - 1TB HDD + 512GB SSD - Licorice Black",True,1429.99,1279.99,884116294634
3.1,9.0,True,HP,"HP - EliteBook 14"" Refurbished Laptop - Intel Core i5 - 8GB Memory - 320GB Hard Drive - Silver",True,272.99,272.99,812177027649
3.1,8.0,True,Razer,"Razer - Blade Pro 17.3"" 4K Ultra HD Touch-Screen Laptop - Intel Core i7 - 32GB Memory - NVIDIA GeForce GTX 1080 - 1TB SSD - Black",True,4399.99,4199.99,814855024032
3.2,6.0,True,Lenovo,"Lenovo - ThinkPad 14"" Refurbished Laptop - Intel Core i5 - 8GB Memory - 320GB Hard Drive - Black",True,287.99,287.99,812177027878
